Temple,Status,Latitude,Longitude,LatitudeDegrees,LongitudeDegress,Address,City,County,State,Postal Code,Country,Phone,
Washington D.C. Temple,Dedicated,39.014079,-77.065624,"39°0'50""N","77°3'56""W",9900 Stoneybrook Dr,Kensington,Montgomery,Maryland,20895-3199,United States,(+1) 301-588-0650,
Wellington New Zealand Temple,Announced,-41.12326075,174.85459,"41°7'23""S","174°51'16""E",Near Okowai Road and Whitford Brown Avenue Aotea,Porirua,,,,New Zealand,,
West Jordan Utah Temple,Announced,40.62037187,-112.06863,"40°37'13""N","112°4'7""W",Approximately 7148 South (west of Highway 111),West Jordan,Salt Lake,Utah,,United States,,
Wichita Kansas Temple,Under Construction,37.77509379,-97.373413,"37°46'30""N","97°22'24""W",North Meridian Avenue,Wichita,Sedgwick,Kansas,,United States,,
Willamette Valley Oregon Temple,Under Construction,44.08885894,-123.03278,"44°5'19""N","123°1'58""W",International Boulevard and Corporate Way,Springfield,Lane,Oregon,,United States,,
Winchester Virginia Temple,Announced,39.18827326,-78.1913495,"39°11'17""N","78°11'28""W",200 Merrimans Lane,Winchester,Frederick,Virginia,22601,United States,,
Winnipeg Manitoba Temple,Dedicated,49.800544,-97.195212,"49°48'1""N","97°11'42""W",15 Centre St,Winnipeg,,Manitoba,R3Y 2C3,Canada,(+1) 204-261-2200,
Winter Quarters Nebraska Temple,Dedicated,41.334075,-95.96619,"41°20'2""N","95°57'58""W",8283 N 34th St,Omaha,Douglas,Nebraska,68112,United States,(+1) 402-453-3406,
Yigo Guam Temple,Dedicated,13.541741,144.890143,"13°32'30""N","144°53'24""E",321 Chalan Pale Ramon Lagu Rte 1,Yigo,,,96929,Guam,(+1) 671-969-0055,
Yorba Linda California Temple,Under Construction,33.8983749,-117.834721,"33°53'54""N","117°50'4""W",17130 Bastanchury Road,Yorba Linda,Orange,California,,United States,,
